,subject1,verb1,object1,subject2,verb2,object2,score,range,BERT_subject_sim,BERT_verb_sim,BERT_obj_sim,W2V_subject_sim,W2V_verb_sim,W2V_obj_sim
0,agent,sell,property,family,buy,home,3.125,1.5411035007422442,0.7067685723304749,0.7849987745285034,0.7547650933265686,0.8530967235565186,0.9313392043113708,0.688295841217041
1,agent,sell,property,group,hold,meeting,1.1666666666666667,0.4815434123430768,0.7246448397636414,0.7250086665153503,0.7063196897506714,0.8452684879302979,0.8897708058357239,0.887017011642456
2,author,write,book,delegate,buy,land,1.1304347826086956,0.6255432421712243,0.7211146950721741,0.7341799736022949,0.7590075731277466,0.8223481774330139,0.9092304110527039,0.8216519951820374
3,author,write,book,man,hear,word,1.64,1.0360180178613367,0.7414149641990662,0.7377918362617493,0.735361635684967,0.6401948928833008,0.9636868834495544,0.8989506959915161
4,author,write,book,writer,read,word,3.1666666666666665,1.090140264874869,0.8813709020614624,0.7875310778617859,0.735361635684967,0.898977518081665,0.8526166677474976,0.8989506959915161
5,case,require,attention,customer,pay,price,1.12,0.33166247903554014,0.7074543833732605,0.7391732335090637,0.6959512829780579,0.7549780607223511,0.8801589608192444,0.9021160006523132
6,case,require,attention,patient,need,treatment,4.24,1.535143858622594,0.7428427934646606,0.8537037968635559,0.7391735911369324,0.850645899772644,0.6489773988723755,0.8682994842529297
7,charity,help,people,panel,discuss,issue,1.380952380952381,0.5895922723535711,0.699893057346344,0.7413411140441895,0.724856436252594,0.9022442102432251,0.8857764601707458,0.551396906375885
8,charity,help,people,school,encourage,child,2.4347826086956523,1.3082287455154338,0.7317554354667664,0.7620943784713745,0.7652337551116943,0.644079864025116,0.8752387762069702,0.6946395039558411
9,committee,consider,matter,panel,discuss,issue,5.8,1.0,0.7759189009666443,0.7939854264259338,0.7457218766212463,0.9581643342971802,0.968636691570282,0.7861624956130981
10,committee,consider,matter,study,pose,problem,3.1666666666666665,1.493949148388597,0.7358482480049133,0.6888822913169861,0.7442807555198669,0.8545042276382446,0.7947610020637512,0.9371867775917053
11,commodity,meet,requirement,charity,help,people,1.4583333333333333,0.832970935693524,0.7112912535667419,0.7374203205108643,0.7293829321861267,0.7046202421188354,0.9345727562904358,0.5944597125053406
12,company,provide,system,government,use,power,1.88,0.971253485622231,0.7726666331291199,0.7741273045539856,0.7647861838340759,0.9033931493759155,0.8987082839012146,0.9128527641296387
13,company,suffer,loss,firm,cause,injury,3.130434782608696,1.7136974334113455,0.8130941390991211,0.7165640592575073,0.7530171275138855,0.900193452835083,0.9336994886398315,0.9195252060890198
14,customer,pay,price,company,cut,cost,1.9166666666666667,1.176459931750543,0.7646660804748535,0.7082839608192444,0.8083472847938538,0.9027025103569031,0.8872594833374023,0.9228140115737915
15,customer,pay,price,graduate,begin,career,1.0454545454545454,0.21320071635561041,0.7160606980323792,0.6981297135353088,0.6973429918289185,0.930135190486908,0.9245703816413879,0.87545245885849
16,delegate,buy,land,agent,sell,property,3.36,1.7530925056406272,0.7291505932807922,0.7849987745285034,0.796017587184906,0.8420860171318054,0.9313392043113708,0.9590013027191162
17,delegate,buy,land,mother,leave,house,1.2,0.5,0.7097512483596802,0.7152869701385498,0.7739879488945007,0.7353271245956421,0.9267742037773132,0.8361879587173462
18,design,reduce,amount,company,cut,cost,4.260869565217392,1.763709708755637,0.7608131766319275,0.7736108303070068,0.7390216588973999,0.893217921257019,0.8641153573989868,0.9182632565498352
19,doctor,use,test,physician,pass,time,2.1666666666666665,1.3077250963165892,0.8485460877418518,0.7163000106811523,0.7304360270500183,0.8152168393135071,0.8242005705833435,0.6029264330863953
20,drug,produce,effect,committee,consider,matter,1.1818181818181819,0.5884898863364997,0.7232905626296997,0.7493726015090942,0.663280725479126,0.8934054374694824,0.8534142374992371,0.7843731045722961
21,drug,produce,effect,employee,start,work,1.0416666666666667,0.20412414523193148,0.7015528678894043,0.7458400726318359,0.7228999733924866,0.9261115193367004,0.8358873128890991,0.8796787261962891
22,employee,start,work,graduate,begin,career,4.9523809523809526,1.395571226279421,0.7580909729003906,0.8908429145812988,0.773385763168335,0.9770504236221313,0.9545316696166992,0.7284591197967529
23,family,receive,letter,survey,collect,information,1.68,1.0692676621563626,0.7325130105018616,0.7576053142547607,0.7369588017463684,0.829723060131073,0.880138099193573,0.6996696591377258
24,father,stretch,arm,man,wave,hand,4.08,1.255653880122491,0.7950350642204285,0.7158203721046448,0.8299533724784851,0.6947794556617737,0.9652546644210815,0.8013124465942383
25,firm,cause,injury,question,raise,head,1.12,0.33166247903553997,0.6926354169845581,0.7285705208778381,0.6929800510406494,0.5580426454544067,0.9089664220809937,0.7421491146087646
26,force,win,battle,commodity,meet,requirement,1.36,0.9521904571390466,0.7056983113288879,0.7257373332977295,0.7242600917816162,0.7948905229568481,0.9639694690704346,0.9168888926506042
27,force,win,battle,people,play,game,1.6,1.0408329997330663,0.7453193664550781,0.7504828572273254,0.7610093355178833,0.6442921161651611,0.8831079006195068,0.9614594578742981
28,gentleman,close,eye,father,stretch,arm,1.36,0.7,0.7530010938644409,0.7028014659881592,0.7423092126846313,0.734587550163269,0.8537952303886414,0.8986956477165222
29,girl,like,people,plan,increase,number,1.0,0.0,0.7429277896881104,0.7403882145881653,0.7508254051208496,0.8379451036453247,0.6069687604904175,0.665469765663147
30,girl,like,people,survey,collect,information,1.04,0.19999999999999998,0.7246310710906982,0.7088539600372314,0.7579477429389954,0.7605019807815552,0.6406303644180298,0.7395155429840088
31,girl,like,people,woman,ask,man,1.6363636363636365,1.2167659925061516,0.8951320052146912,0.7414095997810364,0.8261222243309021,0.9618295431137085,0.7805752158164978,0.5944724082946777
32,government,use,power,authority,exercise,influence,5.8,1.3228756555322954,0.7774171233177185,0.7422251105308533,0.7696235775947571,0.9017052054405212,0.8154104351997375,0.9506956338882446
33,graduate,begin,career,company,suffer,loss,1.0869565217391304,0.2881040655200305,0.7176207900047302,0.7219580411911011,0.7095153331756592,0.8830506205558777,0.9507983326911926,0.864971935749054
34,group,hold,meeting,man,lift,hand,1.2083333333333333,0.6580053301400784,0.7669299244880676,0.7380306720733643,0.7033510208129883,0.6657261848449707,0.894939124584198,0.8203950524330139
35,man,hear,word,people,remember,name,2.68,1.5737428845483834,0.8261222243309021,0.7650116086006165,0.7767552733421326,0.5944724082946777,0.9401215314865112,0.8874725699424744
36,man,lift,hand,question,raise,head,2.8,1.9148542155126764,0.7422887086868286,0.7724614143371582,0.7915708422660828,0.8319986462593079,0.9385818839073181,0.8525936007499695
37,man,shut,door,gentleman,close,eye,1.8,0.9128709291752769,0.7901946902275085,0.7681626677513123,0.7276765704154968,0.6616762280464172,0.8862881064414978,0.8713696002960205
38,man,shut,door,page,provide,datum,1.0,0.0,0.7268863320350647,0.7161259651184082,0.5999307632446289,0.38624903559684753,0.6554170250892639,0.4700247645378113
39,man,shut,door,route,follow,road,1.0,0.0,0.7301720380783081,0.6973207592964172,0.779283881187439,0.5007519125938416,0.713472843170166,0.9292895793914795
40,man,wave,hand,employee,leave,company,1.24,0.8306623862918074,0.7617218494415283,0.7251120209693909,0.7449753880500793,0.5590673089027405,0.7046464681625366,0.8274660706520081
41,man,wave,hand,employee,start,work,1.12,0.33166247903553997,0.7617218494415283,0.7190701365470886,0.761863112449646,0.5590673089027405,0.8057750463485718,0.8291423320770264
42,medication,achieve,result,drug,produce,effect,6.16,0.9433981132056605,0.8075430989265442,0.8002656102180481,0.761415958404541,0.8281837701797485,0.9583948254585266,0.9016681909561157
43,medication,achieve,result,man,lift,hand,1.0454545454545454,0.21320071635561041,0.7312074899673462,0.7423234581947327,0.7030109763145447,0.6032434701919556,0.9160254597663879,0.7305014729499817
44,medication,achieve,result,student,reach,level,1.84,1.4910846164230027,0.7261354327201843,0.8036637902259827,0.6934273838996887,0.807265043258667,0.9132179021835327,0.8223300576210022
